,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
MMR002,10,10,10,10,10,10,10,10,10,10,10,79,79,79,79,79,79,79,79,79,16.9,,
MMR003,10,10,10,10,10,10,10,10,10,10,10,79,79,79,79,79,79,79,79,79,16.9,,
MMR004,10,10,10,10,10,10,10,10,10,10,10,79,79,79,79,79,79,79,79,79,16.9,,
MMR006,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
MOZ001,31,31,31,31,31,31,31,31,31,31,31,15,15,15,15,15,15,15,15,15,29.4,,
MOZ004,136,92,92,92,31,92,92,92,92,92,136,73,73,73,73,73,73,73,73,73,88.4,,
MOZ011,136,31,31,92,31,31,31,31,31,31,136,73,73,73,73,73,73,73,73,73,51.8,,
MOZ012,31,31,31,31,31,31,31,31,31,31,31,15,15,15,15,15,15,15,15,15,29.4,,
MRT002,489,5,5,5,5,5,5,5,5,5,489,81,81,81,81,81,81,81,81,81,61,,
MRT003,1433,5,5,5,5,5,5,5,5,5,597,81,81,81,81,81,81,81,81,81,71.8,,
MWI002,7,7,7,7,7,7,7,7,7,7,491,79,79,79,79,79,79,79,79,79,62.6,,
MYS001,6,6,6,6,6,6,6,6,6,6,6,75,75,75,75,75,75,75,75,75,12.9,,
NAM002,7,7,7,1667,7,7,7,7,7,7,1147,79,79,79,79,79,79,79,79,79,294.2,,
NER002,99,99,99,4,4,99,99,99,99,99,4,69,69,69,69,69,69,69,69,69,67.5,,
NER003,99,99,99,4,4,99,99,99,99,99,4,69,69,69,69,69,69,69,69,69,67.5,,
NER004,99,99,99,4,4,99,99,99,99,99,4,69,69,69,69,69,69,69,69,69,67.5,,
NER006,31,31,31,4,4,31,31,31,31,31,4,17,17,17,17,17,17,17,17,17,21.5,,
NGA001,4,4,4,4,134,4,4,4,4,4,4,80,80,80,80,80,80,80,80,80,24.6,,
NGA003,4,4,4,4,4,4,4,4,4,4,4,80,80,80,80,80,80,80,80,80,11.6,,
NGA004,4,4,4,4,4,4,4,4,4,4,4,80,80,80,80,80,80,80,80,80,11.6,,
NGA007,4,4,4,4,4,4,4,4,4,4,4,80,80,80,80,80,80,80,80,80,11.6,,
NGA008,4,4,4,4,4,4,4,4,4,4,4,80,80,80,80,80,80,80,80,80,11.6,,
NIC001,5,5,5,5,5,5,5,5,5,5,5,74,74,74,74,74,74,74,74,74,11.9,,
NPL003,6,6,6,6,6,6,6,6,6,6,6,75,75,75,75,75,75,75,75,75,12.9,,
PAK001,5,5,5,5,5,5,5,5,5,5,5,76,76,76,76,76,76,76,76,76,12.1,,
PAK004,5,5,5,5,5,5,5,5,5,5,2012,76,76,76,76,76,76,76,76,76,212.8,,
PAK005,5,5,5,5,5,5,5,5,5,5,5,72,72,72,72,72,72,72,72,72,11.7,,
PAN002,5,5,5,5,5,5,5,5,5,5,5,74,74,74,74,74,74,74,74,74,11.9,,
PER002,5,5,5,5,5,5,5,5,5,5,5,74,74,74,74,74,74,74,74,74,11.9,,
PHL001,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PHL003,10,10,10,10,10,10,10,10,10,10,10,75,75,75,75,75,75,75,75,75,16.5,,
PHL015,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PNG001,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PNG003,10,10,10,10,10,10,10,10,10,10,10,75,75,75,75,75,75,75,75,75,16.5,,
PNG005,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
POL002,9,9,9,9,9,9,9,9,9,9,9,74,74,74,74,74,74,74,74,74,15.5,,
PRK001,5,5,5,5,5,5,5,5,5,5,5,74,74,74,74,74,74,74,74,74,11.9,,
PSE002,4,4,4,4,4,4,4,4,4,4,4,80,80,80,80,80,80,80,80,80,11.6,,
PSE003,4,4,4,4,4,4,4,4,4,4,4,80,80,80,80,80,80,80,80,80,11.6,,
