,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8829423580142263,4.4,4.35,5,0.9821118558400176,4.9,4.95,4.7,3.8,0.133606318945649,0.6,2.1999999999999997,5,1,5,5,3.7,7.033997655334115e-05,3.5,3.6,4.4,3.5
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.6,0.08292485165665425,0.3,1.45,2.7,0.14205032414020438,0.7,1.7000000000000002,1.6,2.8,0.23267326732673269,1.1,1.95,3.5,0.19481382978723405,5,4.3,0,0,0,0,2.8,2.4
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13883205902940987,0.6,1.6500000000000001,5,1,5,5,3.9,1.3,0.0032875326645873727,0,0.65,3.3,1,5,4.2,4.2,0.004261538461538462,5,4.6,4.4,3
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.45569520463094354,2.2,2.45,3.2,0.7969085444396736,4,3.6,3.1,2.9,0.19827586206896552,1,1.95,4.5,0.717391304347826,5,4.8,0,0,0,0,3.2,2.6
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5248879822863818,2.6,3.75,4.3,5,0.9814322726366838,4.9,4.95,4.4,0.03763495447930416,1.3,2.9,4,2.247267066030392e-05,1.1,2.6,2.8,4.1
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.4,0.023379883885140437,0.1,0.25,0.9,2.3,0.5831469052945563,2.9,2.5999999999999996,4.1,1,5,4.6,0,0,0,0,3,2.8
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5014906637376432,2.5,3.7,4.3,4.9,1,5,4.95,3.6,0.0114726741760534,0.4,2,3.6,1.0951188986232792e-05,0.5,2.1,2.1,3.9
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.5,0.26666666666666666,5,4.8,0,0,0,0,3.2,3.9
Complex crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster,Displacement",LBN006,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,2.9,0.01929824561403509,0.6,1.8,3.7,7e-05,3.5,3.6,2.8,3.7
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,2.9,1,5,3.95,4.6,3.9,1,5,4.45,4.2,0.11852252739818699,4,4.1,4.2,0.00011906372615342985,5,4.6,4.4,4.4
